IDENTIFICADOR  CAPACIDAD      TIPO           
     D41          40 kg        E
     E10          40 kg        U
     B39          60 kg        P
     A37          60 kg        P
     E36          60 kg        P
     D39          60 kg        P
     E23          60 kg        P
     D37          60 kg        P
     C21          60 kg        P
     B50          60 kg        P
     C08          60 kg        P
     C25          60 kg        P
     E39          60 kg        P
     C15          60 kg        P
     B04          60 kg        P
     C38          60 kg        P
     E12          60 kg        P
     B31          60 kg        P
     C50          60 kg        P
     A23          60 kg        P
     C09          60 kg        P
     E41          60 kg        P
     D17          60 kg        P
     D20          60 kg        P
     A09          60 kg        P
     D01          60 kg        P
     E22          60 kg        P
     B05          60 kg        P
     E33          60 kg        P
     B41          60 kg        P
     C46          60 kg        P
     D07          60 kg        P
     B20          60 kg        P
     D50          60 kg        P
     E42          60 kg        P
     C36          60 kg        P
     B30          60 kg        P
     C11          60 kg        P
     B13          60 kg        P
     D09          40 kg        U
     A41          40 kg        U
     A29          60 kg        P
     A45          40 kg        U
     C48          40 kg        U
     E15          40 kg        U
     C44          60 kg        P
     E34          60 kg        P
     D42          60 kg        P
     B21          40 kg        U
     E49          40 kg        U
     A07          40 kg        U
     A11          60 kg        P
     B46          40 kg        U
     C13          40 kg        U
     B08          40 kg        U
     A08          40 kg        U
     D30          40 kg        U
     E21          40 kg        U
     A17          40 kg        U
     E47          60 kg        P
     E19          60 kg        P
     D36          60 kg        P
     E45          40 kg        U
     A32          60 kg        P
     A16          40 kg        U
     E17          40 kg        U
     E16          40 kg        U
     E27          60 kg        P
     A30          40 kg        U
     B40          40 kg        U
     C19          40 kg        U
     D19          40 kg        U
     B03          40 kg        U
     C42          40 kg        U
     C41          40 kg        U
     C17          40 kg        U
     D38          40 kg        U
     A01          40 kg        U
     A42          40 kg        U
     B33          40 kg        U
     E29          40 kg        U
     B22          40 kg        E
     A26          40 kg        U
     D10          40 kg        U
     B07          40 kg        U
     D11          40 kg        U
     D29          40 kg        U
     C43          40 kg        U
     D31          40 kg        U
     A39          40 kg        U
     A31          40 kg        U
     D15          40 kg        U
     B49          40 kg        U
     D40          40 kg        U
     A35          40 kg        U
     D49          40 kg        U
     E28          40 kg        U
     C03          40 kg        U
     C35          40 kg        U
     D03          40 kg        U
     D34          40 kg        U
     C49          40 kg        U
     B23          40 kg        U
     C47          40 kg        U
     D05          40 kg        U
     D16          40 kg        U
     D47          40 kg        U
     D21          40 kg        U
     D48          40 kg        E
     B18          40 kg        U
     A21          40 kg        U
     A02          40 kg        E
     A28          40 kg        U
     D25          40 kg        U
     B17          40 kg        U
     E20          40 kg        U
     B09          40 kg        U
     C45          40 kg        U
     A15          40 kg        U
     A46          40 kg        E
     D43          40 kg        U
     A49          40 kg        U
     A19          40 kg        U
     D23          40 kg        U
     C39          40 kg        U
     B42          40 kg        U
     E31          40 kg        U
     C16          40 kg        U
     B37          40 kg        E
     B48          40 kg        E
     C07          40 kg        E
     A03          40 kg        E
     C27          40 kg        E
     E50          40 kg        E
     E18          40 kg        E
     A43          40 kg        E
     B38          40 kg        E
